story_id,date,title,series,status,story_path,prompt_path,video_path,reference_ids,concepts,notes
tokushima-robot-panda-cat,2026-06-05,Tokushima Robot Panda Cat,Daily Custom,draft,references/stories/2026-06-05-japan-tokushima-dedao-robot-panda-cat.md,references/prompts/2026-06-05-tokushima-dedao-robot-panda-cat-duanpian-15s.md,,trio-image;lightmind-display;aya-notebook,"Tokushima;robot company;rock paper scissors;panda cat","Daily custom Japan robot story"
firefly-cave-cicada-rain-v1,2026-06-06,Firefly Cave Cicada Rain V1,Daily Custom,draft,references/stories/2026-06-06-firefly-cave-cicada-rain.md,references/prompts/2026-06-06-firefly-cave-cicada-rain-duanpian-15s.md,,trio-image;lightmind-display;aya-notebook,"cicada rain;forest;firefly cave;wonderland","User preferred V1 story"
firefly-cave-cicada-rain-v2,2026-06-06,Firefly Cave Cicada Rain V2,Daily Custom,draft,references/stories/2026-06-06-firefly-cave-cicada-rain-v2.md,,,trio-image;lightmind-display;aya-notebook,"cicada rain;firefly cave;alternate version","Alternate daily custom version"
red-sand-bronze-kite,2026-06-07,Red Sand Bronze Kite,Red Sand Paper Kite,generated,references/stories/2026-06-07-red-sand-bronze-kite-15s.md,references/prompts/2026-06-07-red-sand-bronze-kite-duanpian-15s.md,Videos/red_sand_bronze_kite_15s.mp4,"city-mars;sirens-mars;red-mars;sanxingdui;japanese-history;voidabyss;trio-image;lightmind-display;aya-notebook","red sand;paper kite;bronze face;kind road","First organized red-sand episode"
red-sand-lighthouse-three-lamps,2026-06-08,Red Sand Lighthouse Three Lamps,Red Sand Paper Kite,draft,references/stories/2026-06-08-red-sand-lighthouse-three-lamps-15s.md,references/prompts/2026-06-08-red-sand-lighthouse-three-lamps-duanpian-15s.md,,"city-mars;sirens-mars;red-mars;sanxingdui;japanese-history;voidabyss;trio-image;lightmind-display;aya-notebook","three lamps;fastest;brightest;warmest;small traveler","Planned red-sand continuation"
red-sand-silent-market,2026-06-09,Silent Market,Red Sand Paper Kite,draft,references/red-sand-paper-kite-original-continuation-roadmap-2026-06-07.md,,,"sirens-mars;martian-chronicles;sanxingdui;japanese-history;voidabyss","silent market;voice;bell;false canal","Seed in continuation roadmap"
mars-japan-sanxingdui-triad-method,2026-06-07,One Page Triad Method,Mars Japan Sanxingdui,reference,references/series/mars-japan-sanxingdui/series-bible.md,,,"city-mars;sirens-mars;red-mars;sanxingdui;japanese-history;voidabyss","read one page each;motif extraction;original story","Method for future daily synthesis stories"
chip-factory-season-1,2026-06-07,Chip Factory Adventures Season 1,Chip Factory Adventures,reference,references/series/chip-factory-adventures/series-bible.md,,,"chip-series-bible;nvidia-blackwell;nvidia-grace-hopper;apple-vision-pro;mediatek-ai;arm-isa;riscv-specs;foxconn-ai-factory;words-card-enjp;lazyingart-robot","wafer;mask;yield;packaging;GPU;NPU;ISA","Educational chip series plan"
robot-drone-ar-season-1,2026-06-07,Robot Drone And AR Lab Season 1,Robot Drone And AR Lab,reference,references/series/robot-drone-ar-glass/series-bible.md,,,"robot-ar-series-bible;nvidia-gr00t;dji-mini-4-pro;shadow-robot;apple-vision-pro;lazyingart-robot;words-card-enjp","perception;SLAM;haptics;latency;spatial computing","Educational robotics and AR series plan"
words-card-widget-yield,2026-06-07,Yield Words Card Widget,Shared Asset,reference,references/aginti/words-card-widget-design-2026-06-07.md,,references/aginti/words-card-widget-yield-2026-06-07.png,"words-card-yield;words-card-enjp;words-card-arabic;lazyingart-robot","word-card;yield;desktop gadget;product concept","Generated with aginti image; text in markdown is canonical"
mars-2d-atom-chip-factory-zhuangzi,2026-06-07,Mars 2D Atom Chip Factory Zhuangzi,Mars Japan Sanxingdui,prompted,references/stories/2026-06-07-mars-2d-atom-chip-factory-zhuangzi.md,references/prompts/2026-06-07-mars-2d-atom-chip-factory-zhuangzi-duanpian-15s.md,,"sirens-mars;japanese-history;sanxingdui;chip-series-bible;words-card-yield;lazyingart-robot;trio-image;lightmind-display;aya-notebook;lala-sasa-r1;lala-sasa-r3","Mars chip factory;2D atom material;yield;acidic dust;blue fire;bronze reaction cups;Zhuangzi robot","Random source slices: Sirens acidic mineral/water motif + Japanese mine blue fire risk + Sanxingdui excavation grid and vessel motif"
aginti-asura-eternal-medicine,2026-06-10,AgInTi Asura Eternal Medicine,Daily Custom,draft,references/stories/2026-06-10-aginti-asura-eternal-medicine-30s.md,references/prompts/2026-06-10-aginti-asura-eternal-medicine-30s.md,,"lazyingart-robot;aya-notebook;lala-sasa-r1;lala-sasa-r3;trio-image","AgInTi lab;eternal life medicine;Asura;clean lab battle;LightMind glasses","30s story-only request; prompt kept compact and avoids generated display text except minimal clear labels"
