reference_id,type,title,path_or_url,usage_rule,notes
words-card-enjp,visual-asset,Words card English Japanese,/home/lachlan/ProjectsLFS/LALACHAN/words-card.jpg,"Use as physical desktop word-card prop","E-ink-like word card with English and Japanese"
words-card-arabic,visual-asset,Words card Arabic,/home/lachlan/ProjectsLFS/LALACHAN/words_card_arabic.JPG,"Use as multilingual word-card reference","Shows English, Japanese, Arabic layout"
words-card-yield,generated-asset,Generated yield words-card widget,references/aginti/words-card-widget-yield-2026-06-07.png,"Concept art only; markdown text is canonical","Generated by aginti image"
chip-series-bible,workflow,Chip Factory Adventures series bible,references/series/chip-factory-adventures/series-bible.md,"Use for educational chip stories","One concept per episode; story-first teaching"
robot-ar-series-bible,workflow,Robot Drone And AR Lab series bible,references/series/robot-drone-ar-glass/series-bible.md,"Use for robotics and AR stories","Physical AI, drones, hands, perception, latency"
nvidia-blackwell,web-primary,NVIDIA Blackwell architecture,https://www.nvidia.com/en-us/data-center/technologies/blackwell-architecture/,"Use as current technical reference","Tensor cores, Transformer Engine, AI factories"
nvidia-grace-hopper,web-primary,NVIDIA Grace Hopper Superchip,https://www.nvidia.com/en-us/data-center/grace-hopper-superchip/,"Use as current technical reference","CPU+GPU coherent memory via NVLink-C2C"
apple-vision-pro,web-primary,Apple Vision Pro introduction,https://www.apple.com/newsroom/2023/06/introducing-apple-vision-pro/,"Use as current technical reference","Spatial computing, eye/hand/voice input, R1 low-latency path"
mediatek-ai,web-primary,MediaTek Edge AI,https://www.mediatek.com/technology/ai,"Use as current technical reference","NPU and edge AI concepts"
arm-isa,web-primary,Arm ISA glossary,https://www.arm.com/glossary/isa,"Use as current technical reference","Instruction Set Architecture explanation"
riscv-specs,web-primary,RISC-V specifications,https://riscv.org/technical/specifications/,"Use as current technical reference","Open ISA specs"
foxconn-ai-factory,web-primary,Foxconn AI factory partnership,https://www.foxconn.com/en-us/press-center/events/csr-events/1599,"Use as current technical reference","AI factory, smart manufacturing"
nvidia-gr00t,web-primary,NVIDIA Isaac GR00T,https://developer.nvidia.com/isaac/gr00t,"Use as current technical reference","Humanoid robotics foundation-model platform"
dji-mini-4-pro,web-primary,DJI Mini 4 Pro,https://www.dji.com/mini-4-pro,"Use as current technical reference","Obstacle sensing and ActiveTrack"
shadow-robot,web-primary,Shadow Robot,https://shadowrobot.com/,"Use as current technical reference","Dexterous hands and tactile sensing"
